epic,book,passage,working_title,creator,source_type,model_version,prompt_file,generated_on,reference_ids,curation_status,final_file,credit_line,notes
Odyssey,5,"5.1–5.493",Odysseus clings to the broken raft,CastaliaInstitute,generated,"Built-in image generation; version not exposed",assets/generated/prompts/odyssey-book-05-raft-v1.md,2026-09-02,,concept-review,assets/generated/odyssey/book-05-raft-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1050 × 1498 px; approximately 150 dpi at 6.625 × 10.25 in; comic-size concept-review candidate; native print master, profile conversion, and final approval pending; SHA-256 f7d90b67a2beda8bfc8f6cff11c8280ace323bbef1bde89910cc9baf2cf34eaf."
Iliad,3,"3.1–3.461",Helen upon the walls of Troy,CastaliaInstitute,generated,"Built-in image generation; version not exposed",assets/generated/prompts/iliad-book-03-helen-walls-v1.md,2026-09-02,,concept-review,assets/generated/iliad/book-03-helen-walls-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1024 × 1536 px; approximately 146 dpi at 6.625 × 10.25 in; comic-size concept-review candidate; native print master, profile conversion, and final approval pending; SHA-256 f3e11af2ff8ba6099b0bf73a654dd733c93fa2a0a1bbe6c7d7a69b1deea24eb4."
Iliad,16,"16.1–16.867",Patroclus enters battle in borrowed armor,CastaliaInstitute,generated,"Built-in image generation; version not exposed",assets/generated/prompts/iliad-book-16-patroclus-v2.md,2026-09-02,,concept-review,assets/generated/iliad/book-16-patroclus-v2.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1050 × 1498 px; approximately 150 dpi at 6.625 × 10.25 in; comic-size concept-review candidate; native print master, profile conversion, and final approval pending; SHA-256 9ea4fe09507f1fe67ce442081f4bba1e6fd3d3d21da106d2bf0bb20e3440cc7b."
Iliad,11,"11.618–11.848",Patroclus tends Eurypylus and carries the crisis toward Achilles,CastaliaInstitute,generated,"Built-in image generation; original v2 concept",assets/generated/prompts/iliad-book-11-patroclus-eurypylus-v2.md,2026-09-03,,concept-review,assets/generated/iliad/book-11-patroclus-eurypylus-v2.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; approximately 152 dpi at 6.625 × 10.25 in; embedded sRGB profile; concept-review only; native print master, printer-profile conversion, and final approval pending; SHA-256 3a2a0f735b6fc7d5e7a321b3a8a4af0db9a8662092131bb73c87bc8a78d111a1."
Odyssey,23,"23.163–23.246",Penelope recognizes Odysseus beside the rooted bed,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-23-penelope-bed-v1.md,2026-09-03,,concept-review,assets/generated/odyssey/book-23-penelope-bed-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; approximately 152 dpi at 6.625 × 10.25 in; embedded sRGB profile; concept-review only; native print master, printer-profile conversion, and final approval pending; SHA-256 f4882bfe27ebb315333a3a8fe2d643e43fe4a95261692480fcd28ed8634231fa."
Odyssey,16,"16.1–16.481",Telemachus recognizes Odysseus in the swineherd’s hut,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-16-father-son-v1.md,2026-09-03,,concept-review,assets/generated/odyssey/book-16-father-son-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; approximately 152 dpi at 6.625 × 10.25 in; embedded sRGB profile; concept-review only; native print master, printer-profile conversion, and final approval pending; SHA-256 41b5cbc3d6198a221302faf228aef57c04a761c753ec75601139d6d20c01fc05."
Odyssey,13,"13.1–13.440",Odysseus newly landed at Ithaca as Athena reveals the veiled harbor,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-13-return-v1.md,2026-09-03,,concept-review,assets/generated/odyssey/book-13-return-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; approximately 152 dpi at 6.625 × 10.25 in; embedded sRGB profile; concept-review only; native print master, printer-profile conversion, and final approval pending; SHA-256 4f2fe7749e848c354c7783876d56a2b333dcdd1557c78fbc41e4a30c3a1371ba."
Iliad,24,"24.552–24.620",Priam enters Achilles’ shelter,CastaliaInstitute,generated,"Built-in image generation; original v2 concept",assets/generated/prompts/iliad-book-24-priam-achilles-v2.md,2026-09-03,,concept-review,assets/generated/iliad/book-24-priam-achilles-v2.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; approximately 144 dpi at 6.625 × 10.25 in; embedded sRGB profile; concept-review only; native print master, printer-profile conversion, and final approval pending; SHA-256 6b4959925b21a9d87f47a983c546464a120384c915e4616b9fee8f814aae41d2."
Odyssey,5,"5.1–5.493",Odysseus clings to the broken raft,CastaliaInstitute,generated,"Built-in image generation; original v2 concept",assets/generated/prompts/odyssey-book-05-raft-v2.md,2026-09-03,,concept-review,assets/generated/odyssey/book-05-raft-v2.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1561 px; approximately 152 dpi at 6.625 × 10.25 in; embedded sRGB profile; concept-review only; native print master, printer-profile conversion, and final approval pending; SHA-256 f3cfb4639ea76b6cb8fb805b3b9ebba8eb2cd9fd2084d96e38d786b2daf71da2."
Odyssey,3,"3.1–3.66",Telemachus arrives at Nestor's shore sacrifice,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-03-pylos-v1.md,2026-09-03,,concept-review,assets/generated/odyssey/book-03-pylos-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1024 × 1536 px; approximately 154 dpi at 6.625 × 10.25 in; unprofiled; concept-review only; native print master, printer-profile conversion, and final approval pending; SHA-256 a3db94f87366acb0791ff97b6d55809e80b3c7bdc9b28948350cfe74cbbf5cd5."
Iliad,4,"4.1–4.544",The broken oath and first clash,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-04-broken-oath-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-04-broken-oath-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 8d0ac72507b09ade24d6a63280cf2e186590cd822e49e253cc509c32666ac7be."
Iliad,5,"5.1–5.909",Diomedes against the gods,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-05-diomedes-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-05-diomedes-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 f98ce77f21ec82e34ab4dc8a35d33d881cfe6344366571386dd40318694183df."
Iliad,6,"6.1–6.529",Hector with Andromache and Astyanax,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-06-hector-family-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-06-hector-family-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1559 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 d189021d6c920cdb8fb9c4ae99b78eab52b71fc20a2121b0a21296a1311c9a27."
Iliad,7,"7.1–7.482",Hector and Ajax at evening truce,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-07-hector-ajax-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-07-hector-ajax-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 152f61c4732cc91a9816065b5e3dcb33feb3bb81d59da083630fe66481bcab6a."
Iliad,8,"8.1–8.565",Zeus weighs the battle above Ida,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-08-zeus-balance-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-08-zeus-balance-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 3fac155e105b82284ad1ad5a5ad795a3aa43f85c226d8496052ca2ec41b153b2."
Iliad,9,"9.1–9.713",The embassy before Achilles,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-09-embassy-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-09-embassy-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1558 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 bd6553cbdebef23757f90c4cb02ca42d6a3699fab23738012d3b3a2d6dab16c2."
Iliad,10,"10.1–10.579",Diomedes and Odysseus in the night raid,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-10-night-raid-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-10-night-raid-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 363a26e6b63767f94189a34a11bbf50ca4f2a916edd612fa3fc5baa1a40fcd05."
Iliad,12,"12.1–12.471",Hector breaks the Achaean wall,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-12-wall-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-12-wall-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 2548d8288a0b517c4e69e504ed4688f5b42a7a84119cd0bc9343c3299460c67c."
Iliad,13,"13.1–13.837",Poseidon moves among the sea-facing Achaean ranks,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-13-poseidon-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-13-poseidon-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1559 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 4b39b004de9122c9f370873e9c8e2a1feab60985111a876efdb4b85fb431b58f."
Iliad,14,"14.1–14.522",Hera arranges the celestial strategy above Ida,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-14-hera-strategy-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-14-hera-strategy-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1007 × 1562 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 0eef1aa57bf6ad6279dc2e9eff27b46d5e73424cb1259ce386093c8a833d985f."
Iliad,15,"15.1–15.746",Zeus wakes and Hector returns to the ships,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-15-zeus-wakes-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-15-zeus-wakes-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1559 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 46d61eafc7d477a288b7d7b34d7122974717cf19c3c927ea4ab88f4f6d1b139a."
Iliad,17,"17.1–17.761",Menelaus guards the shrouded Patroclus,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-17-menelaus-patroclus-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-17-menelaus-patroclus-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1558 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 48dcd97b8e494a1e2eb55a70c3832a8a64f978df7a564ae10c1616fefe7d2331."
Iliad,18,"18.1–18.617",Thetis receives the shield of Achilles,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-18-shield-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-18-shield-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 bd5175b5ea3ed3ec130e37cfabb4583850aac2b0bba0679977bdd7c3151a4fca."
Iliad,19,"19.1–19.424",Achilles and Agamemnon reconcile before the Achaeans,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-19-reconciliation-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-19-reconciliation-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 07af2a3fc7725d3303c26fa093d65796eef7d0dc62b4f1fe16a450b9e2f073b4."
Iliad,20,"20.1–20.503",The gods divide as Poseidon rescues Aeneas,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-20-divided-gods-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-20-divided-gods-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1561 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 b2d547d915ff7d08b69999df001989fbf57051f33e8cf84f45d66c0db0acebb7."
Iliad,21,"21.1–21.611",Scamander rises around Achilles,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-21-scamander-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-21-scamander-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 a01b013353ef27890413fe8819e3345f0034bccb6b3ceaae786b9a091a7f917c."
Iliad,22,"22.1–22.515",Hector waits before the Scaean Gate,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-22-hector-gate-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-22-hector-gate-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 413e4e090789bd5011684914eaa581f6e007f73349fd86de6a567a3abcb130bd."
Iliad,23,"23.1–23.897",The funeral-games chariot race,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/iliad-book-23-funeral-games-v1.md,2026-09-03,"book-16-patroclus-v2; iliad-cover-art",concept-review,assets/generated/iliad/book-23-funeral-games-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1559 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 b53c3d360c0c0e690fe4a6609053f6de17c7d9ce4d19692b8e06179c6c1b7926."
Odyssey,4,"4.1–4.847",Helen and Menelaus remember Troy for Telemachus,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-04-sparta-memory-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-04-sparta-memory-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1559 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 2c18dc03bc4c617ea1e79e1533f3cc2397286b3e07a9572f6049123af43ea315."
Odyssey,6,"6.1–6.331",Nausicaa receives Odysseus at the river,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-06-nausicaa-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-06-nausicaa-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1007 × 1561 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 0a0a73465b906c47bf80a0f241e733008c35be0bb7dd023b5551c2ba7560a0a3."
Odyssey,7,"7.1–7.347",Odysseus crosses the threshold of Arete's palace,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-07-arete-palace-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-07-arete-palace-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1560 px; exact 168:260 aspect; no embedded ICC profile; concept-review only; print upscaling, color management, and final approval pending; SHA-256 ccd3a0e8a7590aef8b409e7774cd4bd1e29f996766b76adec8e87a145bdeeee2."
Odyssey,8,"8.1–8.586",Demodocus sings while Odysseus grieves,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-08-demodocus-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-08-demodocus-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1559 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 3ca6a42125a208af08ba26eee4aad52f43fb9a36b3048fa444d4f2ccf73c3713."
Odyssey,10,"10.1–10.574",Circe and the moly,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-10-moly-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-10-moly-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1007 × 1562 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 ec8a838b5720894da3d8042966fbeb4e7ccc18e4c289c07805feb76a258976d7."
Odyssey,11,"11.1–11.640",Tiresias beneath the earth,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-11-tiresias-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-11-tiresias-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1559 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 29ad2919eec20d10213085772bc29f2a5715d4bd8228c85d3c005d7a6d6cb95f."
Odyssey,12,"12.1–12.453",The Sirens,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-12-sirens-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-12-sirens-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1561 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 dc92d078af24ffb56c6eae44e1883f301936b8c74d5c8ca0130c49504c5f2aa3."
Odyssey,14,"14.1–14.533",Eumaeus receives the stranger,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-14-eumaeus-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-14-eumaeus-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1559 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 efd178b30470af5b585935a63b5e34b727e507152f7e21f0855f27af48f74813."
Odyssey,15,"15.1–15.557",Telemachus returns beneath the hawk omen,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-15-return-omen-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-15-return-omen-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1558 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 8a861957065ed29f6147cd6c9aa38e9d88b5d4fecf72d267565c20acb3440244."
Odyssey,17,"17.1–17.606",Argos recognizes the disguised Odysseus,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-17-argos-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-17-argos-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1559 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 b268496c6bb7365ab0b1459f546c69333e8deb59c0ba4e04d33f4dedb8438884."
Odyssey,18,"18.1–18.428",The disguised Odysseus faces Irus,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-18-irus-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-18-irus-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1009 × 1559 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 3141d26b96f4f402c701a123a99406cf2ef783a9b273c10f0b8b67be2511ab92."
Odyssey,19,"19.1–19.604",Penelope questions the disguised Odysseus,CastaliaInstitute,generated,"Built-in image generation; original v1 concept",assets/generated/prompts/odyssey-book-19-penelope-question-v1.md,2026-09-03,"book-23-penelope-bed-v1; odyssey-cover-art",concept-review,assets/generated/odyssey/book-19-penelope-question-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1008 × 1561 px; portrait concept; no embedded ICC profile; concept-review only; print crop/upscaling, color management, and final approval pending; SHA-256 67afa04cffc7076ac061f7e89b56b66b74b5d9650de2e34e38ca2ae485ab20df."
